status file for recon-all
Mon Jan  8 19:20:23 UTC 2018
#@# MotionCor Mon Jan  8 19:20:31 UTC 2018
#@# Talairach Mon Jan  8 19:20:52 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 19:24:14 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 19:24:14 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:28:28 UTC 2018
#@# Skull Stripping Mon Jan  8 19:32:57 UTC 2018
#@# EM Registration Mon Jan  8 20:06:18 UTC 2018
#@# CA Normalize Mon Jan  8 20:35:01 UTC 2018
#@# CA Reg Mon Jan  8 20:37:58 UTC 2018
#@# SubCort Seg Tue Jan  9 02:42:11 UTC 2018
#@# Merge ASeg Tue Jan  9 04:25:31 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 04:25:31 UTC 2018
#@# Mask BFS Tue Jan  9 04:32:36 UTC 2018
#@# WM Segmentation Tue Jan  9 04:32:40 UTC 2018
#@# Fill Tue Jan  9 04:36:28 UTC 2018
#@# Tessellate lh Tue Jan  9 04:38:02 UTC 2018
#@# Tessellate rh Tue Jan  9 04:38:14 UTC 2018
#@# Smooth1 lh Tue Jan  9 04:38:28 UTC 2018
#@# Smooth1 rh Tue Jan  9 04:38:37 UTC 2018
#@# Inflation1 lh Tue Jan  9 04:38:46 UTC 2018
#@# Inflation1 rh Tue Jan  9 04:39:45 UTC 2018
#@# QSphere lh Tue Jan  9 04:40:42 UTC 2018
#@# QSphere rh Tue Jan  9 04:47:39 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 04:53:48 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 04:53:48 UTC 2018
#@# Fix Topology lh Tue Jan  9 04:53:48 UTC 2018
#@# Fix Topology rh Tue Jan  9 05:09:07 UTC 2018
#@# Make White Surf lh Tue Jan  9 05:30:12 UTC 2018
#@# Make White Surf rh Tue Jan  9 05:38:37 UTC 2018
#@# Smooth2 lh Tue Jan  9 05:46:41 UTC 2018
#@# Smooth2 rh Tue Jan  9 05:46:50 UTC 2018
#@# Inflation2 lh Tue Jan  9 05:46:59 UTC 2018
#@# Inflation2 rh Tue Jan  9 05:47:53 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 05:48:42 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 05:50:55 UTC 2018
#@# Curvature Stats lh Tue Jan  9 05:53:11 UTC 2018
#@# Curvature Stats rh Tue Jan  9 05:53:17 UTC 2018
#@# Sphere lh Tue Jan  9 05:53:24 UTC 2018
#@# Sphere rh Tue Jan  9 06:54:45 UTC 2018
#@# Surf Reg lh Tue Jan  9 07:57:05 UTC 2018
#@# Surf Reg rh Tue Jan  9 09:24:17 UTC 2018
#@# Jacobian white lh Tue Jan  9 11:26:25 UTC 2018
#@# Jacobian white rh Tue Jan  9 11:26:29 UTC 2018
#@# AvgCurv lh Tue Jan  9 11:26:32 UTC 2018
#@# AvgCurv rh Tue Jan  9 11:26:35 UTC 2018
#@# Cortical Parc lh Tue Jan  9 11:26:38 UTC 2018
#@# Cortical Parc rh Tue Jan  9 11:27:09 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 11:27:37 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 11:53:05 UTC 2018
#@# Surf Volume lh Tue Jan  9 12:17:22 UTC 2018
#@# Surf Volume rh Tue Jan  9 12:17:28 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 12:17:33 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 12:36:46 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 12:39:07 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 12:41:28 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 12:42:00 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 12:42:33 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 12:43:47 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 12:45:00 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 12:45:27 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 12:45:55 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 12:47:04 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 12:48:15 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 12:48:27 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 12:48:38 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 12:49:22 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 12:59:29 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 13:09:42 UTC 2018
#@# APas-to-ASeg Tue Jan  9 13:19:42 UTC 2018
#@# ASeg Stats Tue Jan  9 13:19:56 UTC 2018
#@# WMParc Tue Jan  9 13:28:30 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 13:50:26 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 13:59:40 UTC 2018
recon-all -s 3517 finished without error at Tue Jan  9 14:08:48 UTC 2018
