status file for recon-all
Tue Jan  2 00:06:27 UTC 2018
#@# MotionCor Tue Jan  2 00:06:33 UTC 2018
#@# Talairach Tue Jan  2 00:06:53 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 00:10:15 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 00:10:15 UTC 2018
#@# Intensity Normalization Tue Jan  2 00:14:11 UTC 2018
#@# Skull Stripping Tue Jan  2 00:17:42 UTC 2018
#@# EM Registration Tue Jan  2 00:47:06 UTC 2018
#@# CA Normalize Tue Jan  2 01:28:51 UTC 2018
#@# CA Reg Tue Jan  2 01:31:37 UTC 2018
#@# SubCort Seg Tue Jan  2 06:23:35 UTC 2018
#@# Merge ASeg Tue Jan  2 09:04:02 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 09:04:02 UTC 2018
#@# Mask BFS Tue Jan  2 09:10:06 UTC 2018
#@# WM Segmentation Tue Jan  2 09:10:10 UTC 2018
#@# Fill Tue Jan  2 09:14:02 UTC 2018
#@# Tessellate lh Tue Jan  2 09:15:31 UTC 2018
#@# Tessellate rh Tue Jan  2 09:15:43 UTC 2018
#@# Smooth1 lh Tue Jan  2 09:15:54 UTC 2018
#@# Smooth1 rh Tue Jan  2 09:16:05 UTC 2018
#@# Inflation1 lh Tue Jan  2 09:16:15 UTC 2018
#@# Inflation1 rh Tue Jan  2 09:17:22 UTC 2018
#@# QSphere lh Tue Jan  2 09:18:24 UTC 2018
#@# QSphere rh Tue Jan  2 09:25:16 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 09:31:46 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 09:31:46 UTC 2018
#@# Fix Topology lh Tue Jan  2 09:31:46 UTC 2018
#@# Fix Topology rh Tue Jan  2 20:09:09 UTC 2018
#@# Make White Surf lh Wed Jan  3 01:03:52 UTC 2018
#@# Make White Surf rh Wed Jan  3 01:12:16 UTC 2018
#@# Smooth2 lh Wed Jan  3 01:20:40 UTC 2018
#@# Smooth2 rh Wed Jan  3 01:20:49 UTC 2018
#@# Inflation2 lh Wed Jan  3 01:20:57 UTC 2018
#@# Inflation2 rh Wed Jan  3 01:21:51 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 01:22:43 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 01:25:07 UTC 2018
#@# Curvature Stats lh Wed Jan  3 01:27:24 UTC 2018
#@# Curvature Stats rh Wed Jan  3 01:27:31 UTC 2018
#@# Sphere lh Wed Jan  3 01:27:37 UTC 2018
#@# Sphere rh Wed Jan  3 03:14:31 UTC 2018
#@# Surf Reg lh Wed Jan  3 04:54:59 UTC 2018
#@# Surf Reg rh Wed Jan  3 06:42:05 UTC 2018
#@# Jacobian white lh Wed Jan  3 08:05:40 UTC 2018
#@# Jacobian white rh Wed Jan  3 08:05:43 UTC 2018
#@# AvgCurv lh Wed Jan  3 08:05:46 UTC 2018
#@# AvgCurv rh Wed Jan  3 08:05:48 UTC 2018
#@# Cortical Parc lh Wed Jan  3 08:05:51 UTC 2018
#@# Cortical Parc rh Wed Jan  3 08:06:14 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 08:06:35 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 08:33:50 UTC 2018
#@# Surf Volume lh Wed Jan  3 08:59:41 UTC 2018
#@# Surf Volume rh Wed Jan  3 08:59:47 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 08:59:52 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 09:15:39 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 09:17:57 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 09:20:11 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 09:20:41 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 09:21:10 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 09:22:22 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 09:23:29 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 09:23:54 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 09:24:18 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 09:25:28 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 09:26:33 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 09:26:47 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 09:26:57 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 09:27:38 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 09:36:36 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 09:45:31 UTC 2018
#@# APas-to-ASeg Wed Jan  3 09:54:25 UTC 2018
#@# ASeg Stats Wed Jan  3 09:54:36 UTC 2018
#@# WMParc Wed Jan  3 10:00:34 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 10:17:55 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 10:26:03 UTC 2018
recon-all -s 3290 finished without error at Wed Jan  3 10:34:00 UTC 2018
