status file for recon-all
Mon Jan  8 19:20:47 UTC 2018
#@# MotionCor Mon Jan  8 19:20:53 UTC 2018
#@# Talairach Mon Jan  8 19:21:16 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 19:24:57 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 19:24:58 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:29:06 UTC 2018
#@# Skull Stripping Mon Jan  8 19:33:36 UTC 2018
#@# EM Registration Mon Jan  8 20:13:36 UTC 2018
#@# CA Normalize Mon Jan  8 20:52:00 UTC 2018
#@# CA Reg Mon Jan  8 20:54:44 UTC 2018
#@# SubCort Seg Tue Jan  9 02:23:37 UTC 2018
#@# Merge ASeg Tue Jan  9 04:24:43 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 04:24:43 UTC 2018
#@# Mask BFS Tue Jan  9 04:31:38 UTC 2018
#@# WM Segmentation Tue Jan  9 04:31:42 UTC 2018
#@# Fill Tue Jan  9 04:35:36 UTC 2018
#@# Tessellate lh Tue Jan  9 04:37:11 UTC 2018
#@# Tessellate rh Tue Jan  9 04:37:22 UTC 2018
#@# Smooth1 lh Tue Jan  9 04:37:33 UTC 2018
#@# Smooth1 rh Tue Jan  9 04:37:42 UTC 2018
#@# Inflation1 lh Tue Jan  9 04:37:52 UTC 2018
#@# Inflation1 rh Tue Jan  9 04:38:54 UTC 2018
#@# QSphere lh Tue Jan  9 04:39:59 UTC 2018
#@# QSphere rh Tue Jan  9 04:47:11 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 04:54:39 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 04:54:39 UTC 2018
#@# Fix Topology lh Tue Jan  9 04:54:39 UTC 2018
#@# Fix Topology rh Tue Jan  9 05:13:58 UTC 2018
#@# Make White Surf lh Tue Jan  9 05:35:28 UTC 2018
#@# Make White Surf rh Tue Jan  9 05:44:56 UTC 2018
#@# Smooth2 lh Tue Jan  9 05:54:57 UTC 2018
#@# Smooth2 rh Tue Jan  9 05:55:07 UTC 2018
#@# Inflation2 lh Tue Jan  9 05:55:18 UTC 2018
#@# Inflation2 rh Tue Jan  9 05:56:23 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 05:57:26 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 06:00:00 UTC 2018
#@# Curvature Stats lh Tue Jan  9 06:02:25 UTC 2018
#@# Curvature Stats rh Tue Jan  9 06:02:32 UTC 2018
#@# Sphere lh Tue Jan  9 06:02:38 UTC 2018
#@# Sphere rh Tue Jan  9 07:24:08 UTC 2018
#@# Surf Reg lh Tue Jan  9 08:46:43 UTC 2018
#@# Surf Reg rh Tue Jan  9 10:22:27 UTC 2018
#@# Jacobian white lh Tue Jan  9 11:57:15 UTC 2018
#@# Jacobian white rh Tue Jan  9 11:57:19 UTC 2018
#@# AvgCurv lh Tue Jan  9 11:57:22 UTC 2018
#@# AvgCurv rh Tue Jan  9 11:57:25 UTC 2018
#@# Cortical Parc lh Tue Jan  9 11:57:28 UTC 2018
#@# Cortical Parc rh Tue Jan  9 11:57:55 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 11:58:25 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 12:24:23 UTC 2018
#@# Surf Volume lh Tue Jan  9 12:51:09 UTC 2018
#@# Surf Volume rh Tue Jan  9 12:51:15 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 12:51:21 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 13:19:42 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 13:22:27 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 13:25:14 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 13:25:51 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 13:26:28 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 13:27:53 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 13:29:13 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 13:29:45 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 13:30:15 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 13:31:40 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 13:33:00 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 13:33:13 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 13:33:25 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 13:34:14 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 13:43:23 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 13:52:25 UTC 2018
#@# APas-to-ASeg Tue Jan  9 14:01:36 UTC 2018
#@# ASeg Stats Tue Jan  9 14:01:50 UTC 2018
#@# WMParc Tue Jan  9 14:10:13 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 14:28:55 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 14:37:23 UTC 2018
recon-all -s 3519 finished without error at Tue Jan  9 14:45:42 UTC 2018
