status file for recon-all
Wed Jan  3 19:00:40 UTC 2018
#@# MotionCor Wed Jan  3 19:00:48 UTC 2018
#@# Talairach Wed Jan  3 19:01:11 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 19:05:00 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 19:05:00 UTC 2018
#@# Intensity Normalization Wed Jan  3 19:10:15 UTC 2018
#@# Skull Stripping Wed Jan  3 19:14:41 UTC 2018
#@# EM Registration Wed Jan  3 20:08:21 UTC 2018
#@# CA Normalize Wed Jan  3 20:41:10 UTC 2018
#@# CA Reg Wed Jan  3 20:44:57 UTC 2018
#@# SubCort Seg Thu Jan  4 03:31:49 UTC 2018
#@# Merge ASeg Thu Jan  4 05:24:29 UTC 2018
#@# Intensity Normalization2 Thu Jan  4 05:24:29 UTC 2018
#@# Mask BFS Thu Jan  4 05:31:56 UTC 2018
#@# WM Segmentation Thu Jan  4 05:32:01 UTC 2018
#@# Fill Thu Jan  4 05:36:27 UTC 2018
#@# Tessellate lh Thu Jan  4 05:38:12 UTC 2018
#@# Tessellate rh Thu Jan  4 05:38:26 UTC 2018
#@# Smooth1 lh Thu Jan  4 05:38:41 UTC 2018
#@# Smooth1 rh Thu Jan  4 05:38:52 UTC 2018
#@# Inflation1 lh Thu Jan  4 05:39:02 UTC 2018
#@# Inflation1 rh Thu Jan  4 05:40:05 UTC 2018
#@# QSphere lh Thu Jan  4 05:41:10 UTC 2018
#@# QSphere rh Thu Jan  4 05:47:45 UTC 2018
#@# Fix Topology Copy lh Thu Jan  4 05:54:19 UTC 2018
#@# Fix Topology Copy rh Thu Jan  4 05:54:19 UTC 2018
#@# Fix Topology lh Thu Jan  4 05:54:20 UTC 2018
#@# Fix Topology rh Thu Jan  4 07:19:16 UTC 2018
#@# Make White Surf lh Thu Jan  4 08:06:47 UTC 2018
#@# Make White Surf rh Thu Jan  4 08:15:57 UTC 2018
#@# Smooth2 lh Thu Jan  4 08:25:27 UTC 2018
#@# Smooth2 rh Thu Jan  4 08:25:37 UTC 2018
#@# Inflation2 lh Thu Jan  4 08:25:47 UTC 2018
#@# Inflation2 rh Thu Jan  4 08:26:48 UTC 2018
#@# Curv .H and .K lh Thu Jan  4 08:27:49 UTC 2018
#@# Curv .H and .K rh Thu Jan  4 08:30:27 UTC 2018
#@# Curvature Stats lh Thu Jan  4 08:33:09 UTC 2018
#@# Curvature Stats rh Thu Jan  4 08:33:15 UTC 2018
#@# Sphere lh Thu Jan  4 08:33:22 UTC 2018
#@# Sphere rh Thu Jan  4 09:57:13 UTC 2018
#@# Surf Reg lh Thu Jan  4 11:23:49 UTC 2018
#@# Surf Reg rh Thu Jan  4 12:40:38 UTC 2018
#@# Jacobian white lh Thu Jan  4 14:10:51 UTC 2018
#@# Jacobian white rh Thu Jan  4 14:10:55 UTC 2018
#@# AvgCurv lh Thu Jan  4 14:10:58 UTC 2018
#@# AvgCurv rh Thu Jan  4 14:11:02 UTC 2018
#@# Cortical Parc lh Thu Jan  4 14:11:05 UTC 2018
#@# Cortical Parc rh Thu Jan  4 14:11:34 UTC 2018
#@# Make Pial Surf lh Thu Jan  4 14:12:05 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 14:38:52 UTC 2018
#@# Surf Volume lh Thu Jan  4 15:05:29 UTC 2018
#@# Surf Volume rh Thu Jan  4 15:05:35 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 15:05:41 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 15:31:00 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 15:33:41 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 15:36:18 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 15:36:55 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 15:37:31 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 15:38:54 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 15:40:16 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 15:40:46 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 15:41:16 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 15:42:39 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 15:43:57 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 15:44:08 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 15:44:19 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 15:45:09 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 15:57:38 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 16:10:24 UTC 2018
#@# APas-to-ASeg Thu Jan  4 16:22:46 UTC 2018
#@# ASeg Stats Thu Jan  4 16:22:57 UTC 2018
#@# WMParc Thu Jan  4 16:30:44 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 16:51:19 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 17:00:08 UTC 2018
recon-all -s 3385 finished without error at Thu Jan  4 17:09:15 UTC 2018
