status file for recon-all
Thu Jan  4 18:03:29 UTC 2018
#@# MotionCor Thu Jan  4 18:03:45 UTC 2018
#@# Talairach Thu Jan  4 18:04:23 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 18:08:43 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 18:08:43 UTC 2018
#@# Intensity Normalization Thu Jan  4 18:14:39 UTC 2018
#@# Skull Stripping Thu Jan  4 18:19:52 UTC 2018
#@# EM Registration Thu Jan  4 19:08:30 UTC 2018
#@# CA Normalize Thu Jan  4 19:42:10 UTC 2018
#@# CA Reg Thu Jan  4 19:45:11 UTC 2018
#@# SubCort Seg Fri Jan  5 01:06:53 UTC 2018
#@# Merge ASeg Fri Jan  5 03:41:18 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 03:41:18 UTC 2018
#@# Mask BFS Fri Jan  5 03:47:54 UTC 2018
#@# WM Segmentation Fri Jan  5 03:47:58 UTC 2018
#@# Fill Fri Jan  5 03:52:16 UTC 2018
#@# Tessellate lh Fri Jan  5 03:53:55 UTC 2018
#@# Tessellate rh Fri Jan  5 03:54:07 UTC 2018
#@# Smooth1 lh Fri Jan  5 03:54:20 UTC 2018
#@# Smooth1 rh Fri Jan  5 03:54:30 UTC 2018
#@# Inflation1 lh Fri Jan  5 03:54:41 UTC 2018
#@# Inflation1 rh Fri Jan  5 03:55:44 UTC 2018
#@# QSphere lh Fri Jan  5 03:56:42 UTC 2018
#@# QSphere rh Fri Jan  5 04:03:37 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 04:10:15 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 04:10:15 UTC 2018
#@# Fix Topology lh Fri Jan  5 04:10:15 UTC 2018
#@# Fix Topology rh Fri Jan  5 05:03:47 UTC 2018
#@# Make White Surf lh Fri Jan  5 05:50:35 UTC 2018
#@# Make White Surf rh Fri Jan  5 05:58:55 UTC 2018
#@# Smooth2 lh Fri Jan  5 06:07:32 UTC 2018
#@# Smooth2 rh Fri Jan  5 06:07:42 UTC 2018
#@# Inflation2 lh Fri Jan  5 06:07:51 UTC 2018
#@# Inflation2 rh Fri Jan  5 06:08:51 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 06:09:47 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 06:12:16 UTC 2018
#@# Curvature Stats lh Fri Jan  5 06:14:44 UTC 2018
#@# Curvature Stats rh Fri Jan  5 06:14:51 UTC 2018
#@# Sphere lh Fri Jan  5 06:14:57 UTC 2018
#@# Sphere rh Fri Jan  5 07:44:38 UTC 2018
#@# Surf Reg lh Fri Jan  5 09:41:06 UTC 2018
#@# Surf Reg rh Fri Jan  5 11:18:50 UTC 2018
#@# Jacobian white lh Fri Jan  5 13:01:15 UTC 2018
#@# Jacobian white rh Fri Jan  5 13:01:18 UTC 2018
#@# AvgCurv lh Fri Jan  5 13:01:22 UTC 2018
#@# AvgCurv rh Fri Jan  5 13:01:25 UTC 2018
#@# Cortical Parc lh Fri Jan  5 13:01:28 UTC 2018
#@# Cortical Parc rh Fri Jan  5 13:01:59 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 13:02:28 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 13:30:48 UTC 2018
#@# Surf Volume lh Fri Jan  5 14:00:12 UTC 2018
#@# Surf Volume rh Fri Jan  5 14:00:18 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 14:00:24 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 14:18:35 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 14:21:12 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 14:23:51 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 14:24:28 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 14:25:03 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 14:26:22 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 14:27:42 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 14:28:10 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 14:28:41 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 14:30:00 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 14:31:20 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 14:31:36 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 14:31:52 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 14:32:40 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 14:44:08 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 14:55:15 UTC 2018
#@# APas-to-ASeg Fri Jan  5 15:06:27 UTC 2018
#@# ASeg Stats Fri Jan  5 15:06:39 UTC 2018
#@# WMParc Fri Jan  5 15:13:53 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 15:34:28 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 15:43:42 UTC 2018
recon-all -s 3439 finished without error at Fri Jan  5 15:52:57 UTC 2018
