status file for recon-all
Mon Jan  8 19:20:13 UTC 2018
#@# MotionCor Mon Jan  8 19:20:18 UTC 2018
#@# Talairach Mon Jan  8 19:20:40 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 19:23:59 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 19:23:59 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:27:59 UTC 2018
#@# Skull Stripping Mon Jan  8 19:32:23 UTC 2018
#@# EM Registration Mon Jan  8 20:06:32 UTC 2018
#@# CA Normalize Mon Jan  8 20:48:57 UTC 2018
#@# CA Reg Mon Jan  8 20:51:46 UTC 2018
#@# SubCort Seg Tue Jan  9 02:24:54 UTC 2018
#@# Merge ASeg Tue Jan  9 04:23:05 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 04:23:05 UTC 2018
#@# Mask BFS Tue Jan  9 04:29:45 UTC 2018
#@# WM Segmentation Tue Jan  9 04:29:50 UTC 2018
#@# Fill Tue Jan  9 04:33:39 UTC 2018
#@# Tessellate lh Tue Jan  9 04:35:25 UTC 2018
#@# Tessellate rh Tue Jan  9 04:35:37 UTC 2018
#@# Smooth1 lh Tue Jan  9 04:35:48 UTC 2018
#@# Smooth1 rh Tue Jan  9 04:35:58 UTC 2018
#@# Inflation1 lh Tue Jan  9 04:36:07 UTC 2018
#@# Inflation1 rh Tue Jan  9 04:36:59 UTC 2018
#@# QSphere lh Tue Jan  9 04:37:49 UTC 2018
#@# QSphere rh Tue Jan  9 04:43:49 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 04:50:47 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 04:50:48 UTC 2018
#@# Fix Topology lh Tue Jan  9 04:50:48 UTC 2018
#@# Fix Topology rh Tue Jan  9 05:25:36 UTC 2018
#@# Make White Surf lh Tue Jan  9 05:38:09 UTC 2018
#@# Make White Surf rh Tue Jan  9 05:46:41 UTC 2018
#@# Smooth2 lh Tue Jan  9 05:55:47 UTC 2018
#@# Smooth2 rh Tue Jan  9 05:55:56 UTC 2018
#@# Inflation2 lh Tue Jan  9 05:56:06 UTC 2018
#@# Inflation2 rh Tue Jan  9 05:57:02 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 05:58:01 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 06:00:19 UTC 2018
#@# Curvature Stats lh Tue Jan  9 06:02:32 UTC 2018
#@# Curvature Stats rh Tue Jan  9 06:02:37 UTC 2018
#@# Sphere lh Tue Jan  9 06:02:43 UTC 2018
#@# Sphere rh Tue Jan  9 07:19:38 UTC 2018
#@# Surf Reg lh Tue Jan  9 08:36:28 UTC 2018
#@# Surf Reg rh Tue Jan  9 09:57:04 UTC 2018
#@# Jacobian white lh Tue Jan  9 11:42:16 UTC 2018
#@# Jacobian white rh Tue Jan  9 11:42:20 UTC 2018
#@# AvgCurv lh Tue Jan  9 11:42:23 UTC 2018
#@# AvgCurv rh Tue Jan  9 11:42:25 UTC 2018
#@# Cortical Parc lh Tue Jan  9 11:42:28 UTC 2018
#@# Cortical Parc rh Tue Jan  9 11:42:54 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 11:43:19 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 12:07:54 UTC 2018
#@# Surf Volume lh Tue Jan  9 12:31:37 UTC 2018
#@# Surf Volume rh Tue Jan  9 12:31:43 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 12:31:48 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 12:54:28 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 12:56:53 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 12:59:16 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 12:59:49 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 13:00:25 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 13:01:41 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 13:02:53 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 13:03:19 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 13:03:47 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 13:05:01 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 13:06:15 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 13:06:28 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 13:06:39 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 13:07:24 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 13:16:32 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 13:25:52 UTC 2018
#@# APas-to-ASeg Tue Jan  9 13:35:16 UTC 2018
#@# ASeg Stats Tue Jan  9 13:35:31 UTC 2018
#@# WMParc Tue Jan  9 13:44:58 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 14:06:28 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 14:15:06 UTC 2018
recon-all -s 3516 finished without error at Tue Jan  9 14:23:35 UTC 2018
